dh_co_111	dh_o_111	dh_co_100	dh_o_100	dh_co_110	dh_o_110	dh_co_211	dh_o_211
3.77	-1.35	4.24	-0.29	2.01	0.06	-5.37	0.18
1.27	6.15	-3.26	2.21	-5.49	2.56	-2.87	7.68
-8.73	-3.85	6.74	-7.79	4.51	-7.44	7.13	-2.32
-3.73	1.15	1.74	7.21	9.51	7.56	2.13	2.68
6.27	-8.85	-8.26	-2.79	-0.49	-2.44	-7.87	-7.32
5.02	9.9	2.99	-9.04	-4.24	-1.19	-1.62	3.93
-4.98	-0.1	-7.01	0.96	5.76	8.81	8.38	-6.07
-9.98	4.9	-2.01	-4.04	0.76	-6.19	3.38	8.93
0.02	-5.1	7.99	5.96	-9.24	3.81	-6.62	-1.07
2.52	2.4	-9.51	-6.54	3.26	1.31	-4.12	-8.57
-7.48	-7.6	0.49	3.46	-6.74	-8.69	5.88	1.43
-2.48	7.4	5.49	-1.54	-1.74	6.31	0.88	-3.57
7.52	-2.6	-4.51	8.46	8.26	-3.69	-9.12	6.43
8.14	6.78	-6.39	6.58	1.39	-8.07	9.0	2.05
-1.86	-3.22	3.61	-3.42	-8.61	1.93	-1.0	-7.95
-6.86	1.78	8.61	1.58	-3.61	-3.07	-6.0	7.05
3.14	-8.22	-1.39	-8.42	6.39	6.93	4.0	-2.95
0.64	4.28	1.11	9.08	-1.11	9.43	6.5	-5.45
-9.36	-5.72	-8.89	-0.92	8.89	-0.57	-3.5	4.55
-4.36	9.28	-3.89	4.08	3.89	4.43	-8.5	-0.45
5.64	-0.72	6.11	-5.92	-6.11	-5.57	1.5	9.55
6.89	0.53	-0.14	-2.17	-9.86	-6.82	7.75	-1.7
-3.11	-9.47	9.86	7.83	0.14	3.18	-2.25	8.3
-8.11	5.53	4.86	-7.17	5.14	-1.82	-7.25	-6.7
1.89	-4.47	-5.14	2.83	-4.86	8.18	2.75	3.3
4.39	8.03	7.36	-4.67	7.64	5.68	5.25	5.8
-5.61	-1.97	-2.64	5.33	-2.36	-4.32	-4.75	-4.2
-0.61	3.03	-7.64	-9.67	-7.36	0.68	-9.75	0.8
9.39	-6.97	2.36	0.33	2.64	-9.32	0.25	-9.2
9.55	1.0	-8.11	7.99	-2.83	-5.41	-3.03	-2.79
-0.45	-9.0	1.89	-2.01	7.17	4.59	6.97	7.21
-5.45	6.0	6.89	2.99	2.17	-0.41	1.97	-7.79
4.55	-4.0	-3.11	-7.01	-7.83	9.59	-8.03	2.21
2.05	8.5	4.39	5.49	4.67	7.09	-0.53	9.71
-7.95	-1.5	-5.61	-4.51	-5.33	-2.91	9.47	-0.29
-2.95	3.5	-0.61	0.49	-0.33	2.09	4.47	4.71
7.05	-6.5	9.39	-9.51	9.67	-7.91	-5.53	-5.29
5.8	7.25	-4.36	-3.26	5.92	-9.16	-4.28	3.46
-4.2	-2.75	5.64	6.74	-4.08	0.84	5.72	-6.54
-9.2	2.25	0.64	-8.26	-9.08	-4.16	0.72	8.46
0.8	-7.75	-9.36	1.74	0.92	5.84	-9.28	-1.54
3.3	4.75	8.14	-0.76	-6.58	8.34	-1.78	-9.04
-6.7	-5.25	-1.86	9.24	3.42	-1.66	8.22	0.96
-1.7	9.75	-6.86	-5.76	8.42	3.34	3.22	-4.04
8.3	-0.25	3.14	4.24	-1.58	-6.66	-6.78	5.96
7.68	9.12	5.02	1.11	-8.46	-2.29	6.35	0.33
-2.32	-0.88	-4.98	-8.89	1.54	7.71	-3.65	-9.67
-7.32	4.12	-9.98	6.11	6.54	-7.29	-8.65	5.33
2.68	-5.88	0.02	-3.89	-3.46	2.71	1.35	-4.67
0.18	1.62	-2.48	3.61	9.04	0.21	8.85	-7.17
-9.82	-8.38	7.52	-6.39	-0.96	-9.79	-1.15	2.83
-4.82	6.62	2.52	8.61	-5.96	5.21	-6.15	-2.17
5.18	-3.38	-7.48	-1.39	4.04	-4.79	3.85	7.83
6.43	2.87	1.27	-5.14	0.29	-3.54	5.1	-0.92
-3.57	-7.13	-8.73	4.86	-9.71	6.46	-4.9	9.08
-8.57	7.87	-3.73	-0.14	-4.71	-8.54	-9.9	-5.92
1.43	-2.13	6.27	9.86	5.29	1.46	0.1	4.08
3.93	5.37	-6.23	-7.64	-2.21	3.96	7.6	6.58
-6.07	-4.63	3.77	2.36	7.79	-6.04	-2.4	-3.42
-1.07	0.37	8.77	-2.64	2.79	8.96	-7.4	1.58
8.93	-9.63	-1.23	7.36	-7.21	-1.04	2.6	-8.42
9.24	5.68	0.33	-1.07	8.73	2.4	-7.71	8.77
-0.76	-4.32	-9.67	8.93	-1.27	-7.6	2.29	-1.23
-5.76	0.68	-4.67	-6.07	-6.27	7.4	7.29	3.77
4.24	-9.32	5.33	3.93	3.73	-2.6	-2.71	-6.23
1.74	3.18	-7.17	-3.57	-8.77	-0.1	-5.21	-3.73
-8.26	-6.82	2.83	6.43	1.23	9.9	4.79	6.27
-3.26	8.18	7.83	-8.57	6.23	-5.1	9.79	-8.73
6.74	-1.82	-2.17	1.43	-3.77	4.9	-0.21	1.27
5.49	1.93	6.58	5.18	-0.02	3.65	-8.96	-9.98
-4.51	-8.07	-3.42	-4.82	9.98	-6.35	1.04	0.02
-9.51	6.93	-8.42	0.18	4.98	8.65	6.04	-4.98
0.49	-3.07	1.58	-9.82	-5.02	-1.35	-3.96	5.02
2.99	9.43	-0.92	7.68	2.48	-3.85	-6.46	2.52
-7.01	-0.57	9.08	-2.32	-7.52	6.15	3.54	-7.48
-2.01	4.43	4.08	2.68	-2.52	-8.85	8.54	7.52
7.99	-5.57	-5.92	-7.32	7.48	1.15	-1.46	-2.48
8.61	3.81	-2.79	-7.95	3.11	5.53	1.66	-6.86
-1.39	-6.19	7.21	2.05	-6.89	-4.47	-8.34	3.14
-6.39	8.81	2.21	-2.95	-1.89	0.53	-3.34	-1.86
3.61	-1.19	-7.79	7.05	8.11	-9.47	6.66	8.14
1.11	6.31	9.71	-5.45	-4.39	-6.97	4.16	0.64
-8.89	-3.69	-0.29	4.55	5.61	3.03	-5.84	-9.36
-3.89	1.31	-5.29	-0.45	0.61	-1.97	-0.84	5.64
6.11	-8.69	4.71	9.55	-9.39	8.03	9.16	-4.36
7.36	7.56	-9.04	3.3	-5.64	9.28	0.41	6.89
-2.64	-2.44	0.96	-6.7	4.36	-0.72	-9.59	-3.11
-7.64	2.56	5.96	8.3	9.36	4.28	-4.59	1.89
2.36	-7.44	-4.04	-1.7	-0.64	-5.72	5.41	-8.11
4.86	0.06	3.46	0.8	6.86	-8.22	2.91	-0.61
-5.14	-9.94	-6.54	-9.2	-3.14	1.78	-7.09	9.39
-0.14	5.06	-1.54	5.8	-8.14	-3.22	-2.09	-5.61
9.86	-4.94	8.46	-4.2	1.86	6.78	7.91	4.39
9.9	5.02	-9.63	1.39	6.19	-0.76	4.98	5.68
-0.1	-4.98	0.37	-8.61	-3.81	9.24	-5.02	-4.32
-5.1	0.02	5.37	6.39	-8.81	-5.76	-0.02	0.68
4.9	-9.98	-4.63	-3.61	1.19	4.24	9.98	-9.32
2.4	2.52	2.87	3.89	-6.31	1.74	2.48	-1.82
-7.6	-7.48	-7.13	-6.11	3.69	-8.26	-7.52	8.18
-2.6	7.52	-2.13	8.89	8.69	6.74	-2.52	-6.82
7.4	-2.48	7.87	-1.11	-1.31	-3.26	7.48	3.18
6.15	1.27	-3.38	-7.36	-2.56	-4.51	3.73	-5.57
-3.85	-8.73	6.62	2.64	7.44	5.49	-6.27	4.43
-8.85	6.27	1.62	-2.36	2.44	-9.51	-1.27	-0.57
1.15	-3.73	-8.38	7.64	-7.56	0.49	8.73	9.43
3.65	8.77	9.12	-9.86	4.94	2.99	1.23	1.93
-6.35	-1.23	-0.88	0.14	-5.06	-7.01	-8.77	-8.07
-1.35	3.77	-5.88	-4.86	-0.06	7.99	-3.77	6.93
8.65	-6.23	4.12	5.14	9.94	-2.01	6.23	-3.07
8.03	4.39	7.25	9.51	0.57	-6.39	-5.64	-8.69
-1.97	-5.61	-2.75	-0.49	-9.43	3.61	4.36	1.31
-6.97	9.39	-7.75	4.51	-4.43	-1.39	9.36	-3.69
3.03	-0.61	2.25	-5.49	5.57	8.61	-0.64	6.31
0.53	6.89	-0.25	7.01	-1.93	6.11	-8.14	3.81
-9.47	-3.11	9.75	-2.99	8.07	-3.89	1.86	-6.19
-4.47	1.89	4.75	2.01	3.07	1.11	6.86	8.81
5.53	-8.11	-5.25	-7.99	-6.93	-8.89	-3.14	-1.19
6.78	8.14	1.0	-4.24	-8.18	-7.64	-6.89	7.56
-3.22	-1.86	-9.0	5.76	1.82	2.36	3.11	-2.44
-8.22	3.14	-4.0	-9.24	6.82	-2.64	8.11	2.56
1.78	-6.86	6.0	0.76	-3.18	7.36	-1.89	-7.44
4.28	0.64	-6.5	-1.74	9.32	9.86	-9.39	-4.94
-5.72	-9.36	3.5	8.26	-0.68	-0.14	0.61	5.06
-0.72	5.64	8.5	-6.74	-5.68	4.86	5.61	-9.94
9.28	-4.36	-1.5	3.26	4.32	-5.14	-4.39	0.06
8.96	0.33	1.93	-9.55	-0.37	6.43	9.67	-2.13
-1.04	-9.67	-8.07	0.45	9.63	-3.57	-0.33	7.87
-6.04	5.33	-3.07	-4.55	4.63	1.43	-5.33	-7.13
3.96	-4.67	6.93	5.45	-5.37	-8.57	4.67	2.87
1.46	7.83	-5.57	-7.05	2.13	-6.07	7.17	5.37
-8.54	-2.17	4.43	2.95	-7.87	3.93	-2.83	-4.63
-3.54	2.83	9.43	-2.05	-2.87	-1.07	-7.83	0.37
6.46	-7.17	-0.57	7.95	7.13	8.93	2.17	-9.63
5.21	6.58	5.68	4.2	8.38	7.68	8.42	1.62
-4.79	-3.42	-4.32	-5.8	-1.62	-2.32	-1.58	-8.38
-9.79	1.58	-9.32	9.2	-6.62	2.68	-6.58	6.62
0.21	-8.42	0.68	-0.8	3.38	-7.32	3.42	-3.38
2.71	4.08	-1.82	1.7	-9.12	-9.82	5.92	-5.88
-7.29	-5.92	8.18	-8.3	0.88	0.18	-4.08	4.12
-2.29	9.08	3.18	6.7	5.88	-4.82	-9.08	-0.88
7.71	-0.92	-6.82	-3.3	-4.12	5.18	0.92	9.12
8.34	9.71	-4.94	-1.43	-6.0	0.8	-0.96	4.75
-1.66	-0.29	5.06	8.57	4.0	-9.2	9.04	-5.25
-6.66	4.71	0.06	-6.43	9.0	5.8	4.04	9.75
3.34	-5.29	-9.94	3.57	-1.0	-4.2	-5.96	-0.25
0.84	2.21	7.56	-3.93	6.5	-1.7	-3.46	-7.75
-9.16	-7.79	-2.44	6.07	-3.5	8.3	6.54	2.25
-4.16	7.21	-7.44	-8.93	-8.5	-6.7	1.54	-2.75
5.84	-2.79	2.56	1.07	1.5	3.3	-8.46	7.25
7.09	3.46	-8.69	7.32	2.75	4.55	-2.21	-4.0
-2.91	-6.54	1.31	-2.68	-7.25	-5.45	7.79	6.0
-7.91	8.46	6.31	2.32	-2.25	9.55	2.79	-9.0
2.09	-1.54	-3.69	-7.68	7.75	-0.45	-7.21	1.0
4.59	5.96	3.81	9.82	-4.75	-2.95	-4.71	8.5
-5.41	-4.04	-6.19	-0.18	5.25	7.05	5.29	-1.5
-0.41	0.96	-1.19	4.82	0.25	-7.95	0.29	3.5
9.59	-9.04	8.81	-5.18	-9.75	2.05	-9.71	-6.5
9.43	2.99	-0.72	-2.52	9.47	3.14	7.01	-0.41
-0.57	-7.01	9.28	7.48	-0.53	-6.86	-2.99	9.59
-5.57	7.99	4.28	-7.52	-5.53	8.14	-7.99	-5.41
4.43	-2.01	-5.72	2.48	4.47	-1.86	2.01	4.59
1.93	5.49	6.78	-0.02	-8.03	-4.36	9.51	7.09
-8.07	-4.51	-3.22	9.98	1.97	5.64	-0.49	-2.91
-3.07	0.49	-8.22	-5.02	6.97	-9.36	-5.49	2.09
6.93	-9.51	1.78	4.98	-3.03	0.64	4.51	-7.91
5.68	9.24	-6.97	8.73	-1.78	1.89	5.76	0.84
-4.32	-0.76	3.03	-1.27	8.22	-8.11	-4.24	-9.16
-9.32	4.24	8.03	3.73	3.22	6.89	-9.24	5.84
0.68	-5.76	-1.97	-6.27	-6.78	-3.11	0.76	-4.16
3.18	1.74	0.53	6.23	0.72	-0.61	8.26	-6.66
-6.82	-8.26	-9.47	-3.77	-9.28	9.39	-1.74	3.34
-1.82	6.74	-4.47	1.23	-4.28	-5.61	-6.74	-1.66
8.18	-3.26	5.53	-8.77	5.72	4.39	3.26	8.34
7.56	7.36	3.65	-5.64	3.85	8.77	-3.61	2.71
-2.44	-2.64	-6.35	4.36	-6.15	-1.23	6.39	-7.29
-7.44	2.36	-1.35	-0.64	-1.15	3.77	1.39	7.71
2.56	-7.64	8.65	9.36	8.85	-6.23	-8.61	-2.29
0.06	4.86	-8.85	-8.14	-3.65	-8.73	-1.11	-9.79
-9.94	-5.14	1.15	1.86	6.35	1.27	8.89	0.21
-4.94	9.86	6.15	-3.14	1.35	-3.73	3.89	-4.79
5.06	-0.14	-3.85	6.86	-8.65	6.27	-6.11	5.21
6.31	1.11	9.9	0.61	-7.4	5.02	-4.86	-3.54
-3.69	-8.89	-0.1	-9.39	2.6	-4.98	5.14	6.46
-8.69	6.11	-5.1	5.61	7.6	0.02	0.14	-8.54
1.31	-3.89	4.9	-4.39	-2.4	-9.98	-9.86	1.46
3.81	8.61	-2.6	3.11	5.1	-7.48	-2.36	8.96
-6.19	-1.39	7.4	-6.89	-4.9	2.52	7.64	-1.04
-1.19	3.61	2.4	8.11	-9.9	-2.48	2.64	3.96
8.81	-6.39	-7.6	-1.89	0.1	7.52	-7.36	-6.04
9.12	7.68	8.34	5.92	-3.96	-9.04	2.32	6.78
-0.88	-2.32	-1.66	-4.08	6.04	0.96	-7.68	-3.22
-5.88	2.68	-6.66	0.92	1.04	-4.04	-2.68	1.78
4.12	-7.32	3.34	-9.08	-8.96	5.96	7.32	-8.22
1.62	0.18	-4.16	8.42	3.54	8.46	4.82	-0.72
-8.38	-9.82	5.84	-1.58	-6.46	-1.54	-5.18	9.28
-3.38	5.18	0.84	3.42	-1.46	3.46	-0.18	-5.72
6.62	-4.82	-9.16	-6.58	8.54	-6.54	9.82	4.28
5.37	3.93	4.59	-0.33	7.29	-5.29	1.07	-6.97
-4.63	-6.07	-5.41	9.67	-2.71	4.71	-8.93	3.03
-9.63	8.93	-0.41	-5.33	-7.71	-0.29	-3.93	-1.97
0.37	-1.07	9.59	4.67	2.29	9.71	6.07	8.03
2.87	6.43	-7.91	-2.83	-5.21	7.21	3.57	0.53
-7.13	-3.57	2.09	7.17	4.79	-2.79	-6.43	-9.47
-2.13	1.43	7.09	-7.83	9.79	2.21	-1.43	5.53
7.87	-8.57	-2.91	2.17	-0.21	-7.79	8.57	-4.47
8.5	2.05	-6.04	2.79	-9.59	-3.42	-8.3	-8.85
-1.5	-7.95	3.96	-7.21	0.41	6.58	1.7	1.15
-6.5	7.05	8.96	7.79	5.41	-8.42	6.7	-3.85
3.5	-2.95	-1.04	-2.21	-4.59	1.58	-3.3	6.15
1.0	9.55	1.46	0.29	7.91	4.08	-5.8	3.65
